ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-07-05,9.277517537595179,-10.983187270734891,17.170552755720145,9.277517537595179,9.277517537595179,-6.035929558071528,-6.035929558071528,-6.035929558071528,-6.167659999948272,-6.167659999948272,-6.167659999948272,0.13173044187674418,0.13173044187674418,0.13173044187674418,0.0,0.0,0.0,3.2415879795236506
2018-07-06,9.278085384559956,-12.400877011368818,17.27554270289359,9.278085384559956,9.278085384559956,-6.6342340972645015,-6.6342340972645015,-6.6342340972645015,-6.849970266313118,-6.849970266313118,-6.849970266313118,0.21573616904861578,0.21573616904861578,0.21573616904861578,0.0,0.0,0.0,2.6438512872954547
2018-07-07,9.278653231524734,-28.90169405201261,-1.338544201694436,9.278653231524734,9.278653231524734,-24.71603130831917,-24.71603130831917,-24.71603130831917,-25.023016298188434,-25.023016298188434,-25.023016298188434,0.3069849898692629,0.3069849898692629,0.3069849898692629,0.0,0.0,0.0,-15.437378076794436
2018-07-08,9.279221078489513,-8.380373131173073,20.324759984400185,9.279221078489513,9.279221078489513,-3.37948498639654,-3.37948498639654,-3.37948498639654,-3.7827105267848022,-3.7827105267848022,-3.7827105267848022,0.4032255403882617,0.4032255403882617,0.4032255403882617,0.0,0.0,0.0,5.899736092092973
2018-07-09,9.279680976079838,39.7468517440641,69.59898747052696,9.279680976079838,9.279680976079838,46.04312308379872,46.04312308379872,46.04312308379872,45.54103885439807,45.54103885439807,45.54103885439807,0.5020842294006617,0.5020842294006617,0.5020842294006617,0.0,0.0,0.0,55.32280405987856
2018-07-10,9.280140873670161,-5.261343196827488,23.913293248412504,9.280140873670161,9.280140873670161,0.574298528165898,0.574298528165898,0.574298528165898,-0.026834306840373134,-0.026834306840373134,-0.026834306840373134,0.6011328350062713,0.6011328350062713,0.6011328350062713,0.0,0.0,0.0,9.854439401836059
2018-07-11,9.280600771260486,-9.316385990281415,21.047288779075966,9.280600771260486,9.280600771260486,-2.9928906623889655,-2.9928906623889655,-2.9928906623889655,-3.6908474562477895,-3.6908474562477895,-3.6908474562477895,0.6979567938588236,0.6979567938588236,0.6979567938588236,0.0,0.0,0.0,6.28771010887152
2018-07-12,9.28106066885081,-10.349893655750472,18.219870629588733,9.28106066885081,9.28106066885081,-5.377437804309152,-5.377437804309152,-5.377437804309152,-6.167659999987921,-6.167659999987921,-6.167659999987921,0.7902221956787688,0.7902221956787688,0.7902221956787688,0.0,0.0,0.0,3.9036228645416573
2018-07-13,9.281520566441134,-10.618991367272791,18.422490824355226,9.281520566441134,9.281520566441134,-5.974230711697103,-5.974230711697103,-5.974230711697103,-6.849970266349742,-6.849970266349742,-6.849970266349742,0.8757395546526374,0.8757395546526374,0.8757395546526374,0.0,0.0,0.0,3.307289854744031
2018-07-14,9.28198046403146,-30.129463855693867,-0.26107225981851023,9.28198046403146,9.28198046403146,-24.07049375292884,-24.07049375292884,-24.07049375292884,-25.023016298243622,-25.023016298243622,-25.023016298243622,0.9525225453147826,0.9525225453147826,0.9525225453147826,0.0,0.0,0.0,-14.78851328889738
2018-07-15,9.282440361621783,-7.1123350886527295,21.003705247553146,9.282440361621783,9.282440361621783,-2.7638704674491423,-2.7638704674491423,-2.7638704674491423,-3.7827105268610257,-3.7827105268610257,-3.7827105268610257,1.0188400594118836,1.0188400594118836,1.0188400594118836,0.0,0.0,0.0,6.51856989417264
2018-07-16,9.282900259212107,42.32997595692133,70.00357005657621,9.282900259212107,9.282900259212107,46.61429901107517,46.61429901107517,46.61429901107517,45.54103885440096,45.54103885440096,45.54103885440096,1.073260156674202,1.073260156674202,1.073260156674202,0.0,0.0,0.0,55.897199270287274
2018-07-17,9.28336015680243,-4.188393420723901,23.483206963170662,9.28336015680243,9.28336015680243,1.0878504325689542,1.0878504325689542,1.0878504325689542,-0.02683430687253352,-0.02683430687253352,-0.02683430687253352,1.114684739441487,1.114684739441487,1.114684739441487,0.0,0.0,0.0,10.371210589371385
2018-07-18,9.283820054392756,-8.251739903241296,20.779012131426352,9.283820054392756,9.283820054392756,-2.548473385590387,-2.548473385590387,-2.548473385590387,-3.6908474562558093,-3.6908474562558093,-3.6908474562558093,1.1423740706654222,1.1423740706654222,1.1423740706654222,0.0,0.0,0.0,6.735346668802368
2018-07-19,9.284279951983079,-10.736998242857334,18.62433038624777,9.284279951983079,9.284279951983079,-5.01169943212273,-5.01169943212273,-5.01169943212273,-6.1676600000275705,-6.1676600000275705,-6.1676600000275705,1.1559605679048401,1.1559605679048401,1.1559605679048401,0.0,0.0,0.0,4.272580519860349
2018-07-20,9.284739849573404,-9.906212033254553,18.853076673310927,9.284739849573404,9.284739849573404,-5.694518633455621,-5.694518633455621,-5.694518633455621,-6.849970266386368,-6.849970266386368,-6.849970266386368,1.1554516329307474,1.1554516329307474,1.1554516329307474,0.0,0.0,0.0,3.590221216117783
2018-07-21,9.285199747163727,-28.470282004005806,-0.07900924630912848,9.285199747163727,9.285199747163727,-23.881794690665068,-23.881794690665068,-23.881794690665068,-25.02301629808743,-25.02301629808743,-25.02301629808743,1.1412216074223642,1.1412216074223642,1.1412216074223642,0.0,0.0,0.0,-14.59659494350134
2018-07-22,9.285659644754052,-8.677493126893443,21.52214324941906,9.285659644754052,9.285659644754052,-2.6687172569518047,-2.6687172569518047,-2.6687172569518047,-3.78271052683814,-3.78271052683814,-3.78271052683814,1.1139932698863353,1.1139932698863353,1.1139932698863353,0.0,0.0,0.0,6.616942387802247
2018-07-23,9.286119542344377,40.9970414418324,71.40156822931807,9.286119542344377,9.286119542344377,46.61584845198236,46.61584845198236,46.61584845198236,45.5410388543801,45.5410388543801,45.5410388543801,1.0748095976022585,1.0748095976022585,1.0748095976022585,0.0,0.0,0.0,55.90196799432674
