ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-08-01,117.47366615205362,38.42735271869496,196.34161142513383,117.47366615205362,117.47366615205362,1.9365016079169999,1.9365016079169999,1.9365016079169999,1.9365016079169999,1.9365016079169999,1.9365016079169999,0.0,0.0,0.0,119.41016775997062
2016-09-01,117.09935136515512,44.52127995677919,210.01553190321386,117.09935136515512,117.09935136515512,10.93625414816653,10.93625414816653,10.93625414816653,10.93625414816653,10.93625414816653,10.93625414816653,0.0,0.0,0.0,128.03560551332166
2016-10-01,116.73711126947839,29.837351952917743,182.70435294710418,116.73711126947839,116.73711126947839,-8.84884018124192,-8.84884018124192,-8.84884018124192,-8.84884018124192,-8.84884018124192,-8.84884018124192,0.0,0.0,0.0,107.88827108823646
2016-11-01,116.36279650394577,39.68035155536966,191.7777815850145,116.36279650394577,116.36279650394577,0.5443921164114357,0.5443921164114357,0.5443921164114357,0.5443921164114357,0.5443921164114357,0.5443921164114357,0.0,0.0,0.0,116.9071886203572
2016-12-01,116.00055640826905,-40.031681120169814,111.7793669872235,116.00055640826905,116.00055640826905,-77.28347495033928,-77.28347495033928,-77.28347495033928,-77.28347495033928,-77.28347495033928,-77.28347495033928,0.0,0.0,0.0,38.717081457929766
2017-01-01,115.62624164273645,78.83978597494274,233.7865325463297,115.62624164273645,115.62624164273645,40.72924284062307,40.72924284062307,40.72924284062307,40.72924284062307,40.72924284062307,40.72924284062307,0.0,0.0,0.0,156.35548448335953
2017-02-01,115.25192688552737,62.93287191693839,216.11036420240197,115.25192688552737,115.25192688552737,24.925572753849536,24.925572753849536,24.925572753849536,24.925572753849536,24.925572753849536,24.925572753849536,0.0,0.0,0.0,140.1774996393769
2017-03-01,114.91383613708047,57.14825075823671,208.90139548209726,114.91383613708047,114.91383613708047,17.473691275389356,17.473691275389356,17.473691275389356,17.473691275389356,17.473691275389356,17.473691275389356,0.0,0.0,0.0,132.3875274124698
2017-04-01,114.53952137987137,32.957462145886026,189.09970339909083,114.53952137987137,114.53952137987137,-3.037810013276127,-3.037810013276127,-3.037810013276127,-3.037810013276127,-3.037810013276127,-3.037810013276127,0.0,0.0,0.0,111.50171136659525
2017-05-01,114.17728129556937,33.428462365691466,186.86920122573198,114.17728129556937,114.17728129556937,-7.39309443084134,-7.39309443084134,-7.39309443084134,-7.39309443084134,-7.39309443084134,-7.39309443084134,0.0,0.0,0.0,106.78418686472803
2017-06-01,113.80296654179065,40.28637320596749,194.3310988067178,113.80296654179065,113.80296654179065,2.040478566860321,2.040478566860321,2.040478566860321,2.040478566860321,2.040478566860321,2.040478566860321,0.0,0.0,0.0,115.84344510865097
2017-07-01,113.44072645748867,32.14585168424869,185.19001663108565,113.44072645748867,113.44072645748867,-4.613500246119304,-4.613500246119304,-4.613500246119304,-4.613500246119304,-4.613500246119304,-4.613500246119304,0.0,0.0,0.0,108.82722621136936
2017-08-01,113.06641170370993,36.00429972797282,193.2118979036106,113.06641170370993,113.06641170370993,2.064853578814128,2.064853578814128,2.064853578814128,2.064853578814128,2.064853578814128,2.064853578814128,0.0,0.0,0.0,115.13126528252405
2017-09-01,112.69209694185074,45.70215883592154,203.8827878707436,112.69209694185074,112.69209694185074,11.005422212467316,11.005422212467316,11.005422212467316,11.005422212467316,11.005422212467316,11.005422212467316,0.0,0.0,0.0,123.69751915431806
